Serial No,Shop ID,Shop Name,GSTIN,PAN,State Code,State Name,Category,Verification Status,Registered At
15,"IND_SHOP_08_23","Jodhpur Wooden Handicrafts","08PQRST6789W1ZF","PQRST6789W","08","Rajasthan","Handicrafts & Furniture","VERIFIED_RETAILER","2026-09-09 01:00:29"
16,"IND_SHOP_08_15","Royal Haveli Decor Jaipur","08OPQRS5678T1ZF","OPQRS5678T","08","Rajasthan","Home & Living","VERIFIED_RETAILER","2026-09-09 00:22:38"
17,"IND_SHOP_08_22","Royal Haveli Decor Jaipur","08OPQRS5678T1Z7","OPQRS5678T","08","Rajasthan","Home & Luxury Decor","VERIFIED_RETAILER","2026-09-09 01:00:29"
18,"IND_SHOP_09_11","Ganga Agro Supplies Varanasi","09KLMNO1234P1Z8","KLMNO1234P","09","Uttar Pradesh","Agriculture","VERIFIED_RETAILER","2026-09-09 00:22:38"
19,"IND_SHOP_09_16","Ganga Agro Supplies Varanasi","09KLMNO1234P1Z6","KLMNO1234P","09","Uttar Pradesh","Agriculture & Fertilizers","VERIFIED_RETAILER","2026-09-09 01:00:29"
20,"IND_SHOP_09_12","Nawab Crafts Lucknow","09LMNOP2345Q1ZB","LMNOP2345Q","09","Uttar Pradesh","Home & Living","VERIFIED_RETAILER","2026-09-09 00:22:38"
21,"IND_SHOP_09_17","Nawab Crafts Lucknow","09LMNOP2345Q1Z2","LMNOP2345Q","09","Uttar Pradesh","Home Decor & Furnishing","VERIFIED_RETAILER","2026-09-09 01:00:29"
22,"IND_SHOP_09_18","Noida Semiconductor Dist","09MNOPQ3456T1ZA","MNOPQ3456T","09","Uttar Pradesh","Electronics & Chips","VERIFIED_RETAILER","2026-09-09 01:00:29"
23,"IND_SHOP_10_20","Patliputra Traders Patna","10TUVWX0123Y1ZC","TUVWX0123Y","10","Bihar","Wholesale","VERIFIED_RETAILER","2026-09-09 00:22:38"
24,"IND_SHOP_10_31","Patliputra Traders Patna","10TUVWX0123Y1ZD","TUVWX0123Y","10","Bihar","FMCG Wholesale","VERIFIED_RETAILER","2026-09-09 01:00:29"
25,"IND_SHOP_11_01","Gangtok Organic Tea & Spices","11EFGHI6789O1ZA","EFGHI6789O","11","Sikkim","Organic Food & Beverages","VERIFIED_RETAILER","2026-09-12 07:48:14"
26,"IND_SHOP_12_01","Itanagar Cane & Bamboo Emporium","12FGHIJ7890P1ZC","FGHIJ7890P","12","Arunachal Pradesh","Handicrafts & Decor","VERIFIED_RETAILER","2026-09-12 07:48:14"
27,"IND_SHOP_13_01","Kohima Traditional Weaves","13GHIJK8901Q1ZE","GHIJK8901Q","13","Nagaland","Textiles & Handlooms","VERIFIED_RETAILER","2026-09-12 07:48:14"
28,"IND_SHOP_14_01","Imphal Silk & Handloom Society","14HIJKL9012R1ZG","HIJKL9012R","14","Manipur","Textiles & Silks","VERIFIED_RETAILER","2026-09-12 07:48:14"
29,"IND_SHOP_15_01","Aizawl Hill Agro & Crafts","15IJKLM0123S1ZI","IJKLM0123S","15","Mizoram","Agro & Bamboo Goods","VERIFIED_RETAILER","2026-09-12 07:48:14"
30,"IND_SHOP_16_01","Agartala Bamboo & Cane Works","16JKLMN1234T1ZK","JKLMN1234T","16","Tripura","Handicrafts & Furniture","VERIFIED_RETAILER","2026-09-12 07:48:14"
31,"IND_SHOP_17_01","Shillong Cloud Spices & Botanicals","17KLMNO2345U1ZM","KLMNO2345U","17","Meghalaya","Spices & Natural Herbs","VERIFIED_RETAILER","2026-09-12 07:48:14"
32,"IND_SHOP_18_02","Assam Silk & Eri Muga Hub","18MNOPQ4567W1ZQ","MNOPQ4567W","18","Assam","Luxury Silks & Garments","VERIFIED_RETAILER","2026-09-12 07:48:14"
33,"IND_SHOP_18_01","Guwahati Brahmaputra Tea Traders","18LMNOP3456V1ZO","LMNOP3456V","18","Assam","Tea & Plantation Exports","VERIFIED_RETAILER","2026-09-12 07:48:14"
34,"IND_SHOP_19_17","Bengal Heritage Crafts","19QRSTU7890V1Z5","QRSTU7890V","19","West Bengal","Apparel & Handicrafts","VERIFIED_RETAILER","2026-09-09 00:22:38"
35,"IND_SHOP_19_25","Bengal Heritage Crafts","19QRSTU7890V1Z2","QRSTU7890V","19","West Bengal","Apparel & Handicrafts","VERIFIED_RETAILER","2026-09-09 01:00:29"
36,"IND_SHOP_19_16","Howrah Heavy Tools Kolkata","19PQRST6789U1Z7","PQRST6789U","19","West Bengal","Hardware","VERIFIED_RETAILER","2026-09-09 00:22:38"
37,"IND_SHOP_19_24","Howrah Heavy Tools Kolkata","19PQRST6789U1ZA","PQRST6789U","19","West Bengal","Heavy Hardware & Steel","VERIFIED_RETAILER","2026-09-09 01:00:29"
38,"IND_SHOP_19_26","Siliguri Tea Traders","19RSTUV8901Y1Z1","RSTUV8901Y","19","West Bengal","Tea & Plantation Exports","VERIFIED_RETAILER","2026-09-09 01:00:29"
39,"IND_SHOP_20_01","Ranchi Mineral & Tool Supplies","20NOPQR5678X1ZS","NOPQR5678X","20","Jharkhand","Industrial Tools & Hardware","VERIFIED_RETAILER","2026-09-12 07:48:14"
40,"IND_SHOP_21_38","Bhubaneswar Metal Crafts","21ABCDE7890H1Z1","ABCDE7890H","21","Odisha","Metals & Mining Supplies","VERIFIED_RETAILER","2026-09-09 01:00:29"
41,"IND_SHOP_22_39","Raipur Industrial Gases","22BCDEF8901I1Z4","BCDEF8901I","22","Chhattisgarh","Industrial Supplies","VERIFIED_RETAILER","2026-09-09 01:00:29"
42,"IND_SHOP_23_30","Indore Soy & Oil Mills","23TUVWX0123A1Z5","TUVWX0123A","23","Madhya Pradesh","Agro Processing","VERIFIED_RETAILER","2026-09-09 01:00:29"
43,"IND_SHOP_23_19","Narmada Retail Bhopal","23STUVW9012X1Z1","STUVW9012X","23","Madhya Pradesh","Retail & Groceries","VERIFIED_RETAILER","2026-09-09 00:22:38"
44,"IND_SHOP_23_29","Narmada Retail Bhopal","23STUVW9012X1Z4","STUVW9012X","23","Madhya Pradesh","Retail & Groceries","VERIFIED_RETAILER","2026-09-09 01:00:29"
45,"IND_SHOP_24_09","Sabarmati Retail Ahmedabad","24IJKLM9012N1Z8","IJKLM9012N","24","Gujarat","Consumer Goods","VERIFIED_RETAILER","2026-09-09 00:22:38"
46,"IND_SHOP_24_13","Sabarmati Retail Ahmedabad","24IJKLM9012N1Z2","IJKLM9012N","24","Gujarat","Consumer Goods & Retail","VERIFIED_RETAILER","2026-09-09 01:00:29"
47,"IND_SHOP_24_10","Surat Diamond Crafts","24JKLMN0123O1ZF","JKLMN0123O","24","Gujarat","Jewellery","VERIFIED_RETAILER","2026-09-09 00:22:38"
48,"IND_SHOP_24_14","Surat Diamond Crafts","24JKLMN0123O1ZA","JKLMN0123O","24","Gujarat","Jewellery & Gems","VERIFIED_RETAILER","2026-09-09 01:00:29"
49,"IND_SHOP_24_15","Vadodara Chemical Trading","24KLMNO1234R1Z3","KLMNO1234R","24","Gujarat","Chemicals & Allied","VERIFIED_RETAILER","2026-09-09 01:00:29"
50,"IND_SHOP_26_01","Daman Coastal Trading & Retail","26OPQRS6789Y1ZU","OPQRS6789Y","26","Dadra & Nagar Haveli","Consumer Retail & FMCG","VERIFIED_RETAILER","2026-09-12 07:48:14"
51,"IND_SHOP_27_01","Apex Electronics Mumbai","27ABCDE1234F1Z5","ABCDE1234F","27","Maharashtra","Consumer Electronics","VERIFIED_RETAILER","2026-09-09 00:22:38"
52,"IND_SHOP_27_03","Nagpur Orange Valley Agro","27CDEFG3456I1Z6","CDEFG3456I","27","Maharashtra","Agro & Food Processing","VERIFIED_RETAILER","2026-09-09 01:00:29"
53,"IND_SHOP_27_02","Sahyadri Textiles Pune","27BCDEF2345G1Z9","BCDEF2345G","27","Maharashtra","Apparel & Garments","VERIFIED_RETAILER","2026-09-09 00:22:38"
54,"IND_SHOP_29_04","Deccan Tech Sol Bangalore","29CDEFG3456H1Z6","CDEFG3456H","29","Karnataka","Computers & IT Hardware","VERIFIED_RETAILER","2026-09-09 00:22:38"
55,"IND_SHOP_29_03","Deccan Tech Sol Bangalore","29CDEFG3456H1ZB","CDEFG3456H","29","Karnataka","Computers & Office","VERIFIED_RETAILER","2026-09-09 00:22:38"
56,"IND_SHOP_29_06","Hubli Machine Tools","29EFGHI5678K1Z8","EFGHI5678K","29","Karnataka","Industrial Machinery","VERIFIED_RETAILER","2026-09-09 01:00:29"
57,"IND_SHOP_29_07","Mysore Silk & Sandalwood Emporium","29ABCDE1234F1Z1","ABCDE1234F","29","Karnataka","Handicrafts & Heritage","VERIFIED_RETAILER","2026-09-09 00:22:38"
58,"IND_SHOP_29_05","Silk Route Weavers Mysore","29DEFGH4567I1Z8","DEFGH4567I","29","Karnataka","Luxury Silks & Textiles","VERIFIED_RETAILER","2026-09-09 01:00:29"
59,"IND_SHOP_30_40","Goa Coastal Beverage Co","30CDEFG9012J1Z3","CDEFG9012J","30","Goa","Beverages & Hospitality","VERIFIED_RETAILER","2026-09-09 01:00:29"
60,"IND_SHOP_31_01","Kavaratti Island Fishery & Organics","31PQRST7890Z1ZW","PQRST7890Z","31","Lakshadweep","Fisheries & Marine Organics","VERIFIED_RETAILER","2026-09-12 07:48:14"
61,"IND_SHOP_32_18","Malabar Spices Kochi","32RSTUV8901W1Z1","RSTUV8901W","32","Kerala","FMCG","VERIFIED_RETAILER","2026-09-09 00:22:38"
62,"IND_SHOP_32_27","Malabar Spices Kochi","32RSTUV8901W1ZE","RSTUV8901W","32","Kerala","Spices & Natural Food","VERIFIED_RETAILER","2026-09-09 01:00:29"
63,"IND_SHOP_32_28","Travancore Rubber & Goods","32STUVW9012Z1ZB","STUVW9012Z","32","Kerala","Rubber & Polymers","VERIFIED_RETAILER","2026-09-09 01:00:29"
64,"IND_SHOP_33_08","Coimbatore Machinery","33HIJKL8901M1Z1","HIJKL8901M","33","Tamil Nadu","Industrial Hardware","VERIFIED_RETAILER","2026-09-09 00:22:38"
65,"IND_SHOP_33_11","Coimbatore Machinery","33HIJKL8901M1Z2","HIJKL8901M","33","Tamil Nadu","Industrial Equipment","VERIFIED_RETAILER","2026-09-09 01:00:29"
66,"IND_SHOP_33_07","Kaveri Organics Chennai","33GHIJK7890L1ZF","GHIJK7890L","33","Tamil Nadu","Organic Food","VERIFIED_RETAILER","2026-09-09 00:22:38"
67,"IND_SHOP_33_10","Kaveri Organics Chennai","33GHIJK7890L1Z3","GHIJK7890L","33","Tamil Nadu","Organic Foods & Exports","VERIFIED_RETAILER","2026-09-09 01:00:29"
68,"IND_SHOP_33_12","Madurai Handloom Emporium","33IJKLM9012P1Z6","IJKLM9012P","33","Tamil Nadu","Textiles & Crafts","VERIFIED_RETAILER","2026-09-09 01:00:29"
69,"IND_SHOP_34_01","French Quarter Lifestyle & Bakery Pondy","34QRSTU8901A1ZY","QRSTU8901A","34","Puducherry","Gourmet Foods & Dining","VERIFIED_RETAILER","2026-09-12 07:48:14"
70,"IND_SHOP_35_01","Port Blair Island Crafts & Spices","35RSTUV9012B1Z1","RSTUV9012B","35","Andaman & Nicobar Islands","Spices & Island Handicrafts","VERIFIED_RETAILER","2026-09-12 07:48:14"
71,"IND_SHOP_36_13","Charminar Spice Co Hyderabad","36MNOPQ3456R1ZE","MNOPQ3456R","36","Telangana","FMCG & Groceries","VERIFIED_RETAILER","2026-09-09 00:22:38"
72,"IND_SHOP_36_19","Charminar Spice Co Hyderabad","36MNOPQ3456R1Z1","MNOPQ3456R","36","Telangana","FMCG & Premium Spices","VERIFIED_RETAILER","2026-09-09 01:00:29"
73,"IND_SHOP_36_14","Cyberabad Gadgets","36NOPQR4567S1Z4","NOPQR4567S","36","Telangana","Electronics","VERIFIED_RETAILER","2026-09-09 00:22:38"
74,"IND_SHOP_36_20","Cyberabad Gadgets","36NOPQR4567S1ZE","NOPQR4567S","36","Telangana","Consumer Tech & Mobile","VERIFIED_RETAILER","2026-09-09 01:00:29"
75,"IND_SHOP_36_21","Warangal Agro Seeds","36OPQRS5678V1ZB","OPQRS5678V","36","Telangana","Agriculture Supplies","VERIFIED_RETAILER","2026-09-09 01:00:29"
76,"IND_SHOP_37_37","Vijayawada Electricals","37ZABCD6789G1Z4","ZABCD6789G","37","Andhra Pradesh","Electrical Goods","VERIFIED_RETAILER","2026-09-09 01:00:29"
77,"IND_SHOP_37_36","Visakhapatnam Marine Exports","37YZABC5678F1ZF","YZABC5678F","37","Andhra Pradesh","Marine & Seafood","VERIFIED_RETAILER","2026-09-09 01:00:29"
78,"IND_SHOP_38_01","Leh Pashmina & Highland Organics","38STUVW0123C1Z3","STUVW0123C","38","Ladakh","Luxury Pashmina & Woolens","VERIFIED_RETAILER","2026-09-12 07:48:14"
